"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 02:53:56 UTC 2023","Wed Jul 26 02:54:02 UTC 2023","5133","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jul 26 02:46:44 UTC 2023","Wed Jul 26 02:46:48 UTC 2023","3880","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Jul 26 04:49:54 UTC 2023","Wed Jul 26 04:49:56 UTC 2023","1700","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Jul 26 04:31:01 UTC 2023","Wed Jul 26 04:31:06 UTC 2023","5096","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Jul 26 04:25:10 UTC 2023","Wed Jul 26 04:25:11 UTC 2023","992","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Jul 26 02:57:06 UTC 2023","Wed Jul 26 02:57:15 UTC 2023","8964","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Jul 26 03:58:35 UTC 2023","Wed Jul 26 03:58:52 UTC 2023","17152","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Jul 26 03:51:25 UTC 2023","Wed Jul 26 03:51:40 UTC 2023","15283","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Jul 26 03:26:49 UTC 2023","Wed Jul 26 03:26:51 UTC 2023","1077","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Jul 26 04:25:11 UTC 2023","Wed Jul 26 04:25:12 UTC 2023","1010","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Jul 26 02:57:46 UTC 2023","Wed Jul 26 02:57:54 UTC 2023","8241","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jul 26 04:29:54 UTC 2023","Wed Jul 26 04:30:14 UTC 2023","20130","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Jul 26 04:24:30 UTC 2023","Wed Jul 26 04:24:50 UTC 2023","19453","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
